Apatani,English
gager,ardent; resolute
gagerpa,resolutely; with full effort; ardently; at any cost
gagvr,by any means; by hook or by crook
gai,to sing
gai’,sing
gaje,to crush something with the hand
gajer,(Bot
gajor,carrot
gakhii,to ruin or destroy something by catching it or holding it with the hand
gambii,border; boundary
gambu,fight; war
ganda,country; land
ganda-neñcañ,landed properties
gangu,Jew's harp; mouth harp
ganii,"one who catch, grab or seize with the hand (unspecified)"
ganu-gana,to scold someone in vain (with no result)
gaqu,mouth harp
gar-,paddy field
garche,to divide a paddy field
garchehe,part/half of a paddy field
gare,(of paddy fields) one
gari,car; four wheeler
gari-paji,motor vehicles
garko,lowermost paddy field of a person's fields
garkun,n:num
garne,(of paddy fields) how many
garpii,adjacent paddy field of lower level than the field in reference; adjacent paddy field downslope
garpw’,paddy field in the lower portion
garro,(of a field) large; vast
garsa,(of two or more rice fields)
garta,adjacent paddy field of upper level than the field in reference; adjacent paddy field upslope
garta’,paddy field in the upper portion
garti,to cling to something securely; to hug or clench securely
gartin kiilin,kiilin adv
gartu,(of a paddy field) small
gartú,small (as a field)
garu,pillow
garw,vehicle
gaser,to strangle someone or some animal
gasu,have verbal quarrel
gasu-pasu,dispute; conflict; contention; clash
gati,to grip; to take hold of firmly in one's hand; to clutch
gatu,"to grip; to block something by holding, clutching or grasping it in one's hand"
gaya,to dispute; to quarrel; to clash with someone
gayi,to go down to scold someone
ga’,grasp; clutch; grip; grab
ga’bw,"hold on to something (as someone’s hand, a stick or a knife)"
ga’ce,break by clutching something
ga’ci’,hold something at its tip or edge
ga’hiñ,shape something into a ball with the hands
ga’je’,soften something by grasping repeatedly
ga’svr,strangle with hand
ga’ti,hold tightly
ga’tiñ,block by holding
ga’tú,catch; hold
ge,"to adhere or stick to something, as of glue"
gehe,yawn
genda hamañ,Redflower Ragleaf; Fireweed (Crassocephalum crepidioides)
generic,of small glass beads
genw nañ,blame someone else for one’ own mistake
ge’,stick; adhere to; glue
gi,operate a hinged door
gi- gii,"to carry or fetch, esp"
giba,(of a plural subject) to operate a door together
giber,"to fall flat, esp"
gibi,to lie down for someone else
gibo,to lie along with someone
gida,to lie down correctly
giha-gikha,unpleasant to lie down
gii,to wear; to put on clothing; to be dressed in; to clothe oneself with
gii-,basket
gii- giba,(of a plural subject) to lie down together
giiba,(of a plural subject) to put on clothes or dress up together
giibi,to put on clothes for someone else
giibo,to dress up along with someone
giicha,to scale; to climb up
giida,any object used as support for climbing
giida pata,variety of large-sized basket
giida yagii,variety of decorative basket used during weddings and other similar occasions
giije,to wear something repeatedly
giijo-giiyo,to wear clothes that have been borrowed from someone
giiju,dress
giiju-giimyo,dressing/clothing style
giikha,to scale the wrong wall or fence; to scale a wall/fence the wrong way
giikhii,"to wear something till it becomes worn out/torn, esp"
giikhu,worn out dress
giikor,cicatrix; mark left on the skin after a lesion has healed
giiku,"to put on clothes uncorrectly, e"
giikun,n:num
giilo,ritual element of sacrificial altars 
giilyi,(Agr
giimii,to wear out a cloth
giimo,to stop; to make a break
giimya,(Bot
giine,(of baskets of the *yagii or *raju variety) how many
giine-giise,"to touch someone lightly with one's body, as when flirting"
giinii,wearer; one who wears (unspecified)
giiniibo,wearer; the one who wears (specified)
giiniin,[´gini] n
giinsi,"fragment of pig skin measuring about three and half feet by four inches, which is used ritually and taken as a special share during *Myoko"
giinyo,(of a basket of the *yagii or *raju variety) small
giipii,(Med
giira,grazing ground for animals
giire,crunchy; crispy
giiri,pigsty
giirii,variety of spring action snare
giiro,(of a basket of the *yagii or *raju variety) big
giiru-giira,"loose, as of a snare"
giisa,(of two or more baskets carried by a strap around the forehead)
giite,"to fetch, esp"
giitu-giira,knowledge about Apatani traditional relations and ways of life
giiye,(of baskets of the *yagii or *raju variety) one
giiyi,to go/move down across a wall or fence
giiyo,variety of snare-type trap which traps animals in a noose
gije,to lie down for real
gije-gipe,to lie down intentionally
gika,"to lie down, as a trial or to see what happens; to try to lie down"
gikha,to lie down uncorrectly
giko,place for lying down; resting place
giko’,open (a hinged door)
gilii,"to move inward, esp"
gilu,to lose precious time by lying down/resting in a lying position
gilu-gile,to harm oneself by lying down/staying in a lying position
gilyu,to waste one's time by lying down/resting in a lying position
gimbyo,"a meat portion, containing the thoracic cage"
gimyu,to be the last among a group of people to lie down
gin,vsuff
gipa,to waste one's time by lying down/resting in a lying position
gipiñ,close (a hinged door)
gipyañ,close (a hinged door)
gipyo,pleasant/nice to lie down
girii pamyo,injury (not necessary physical) carried by a person to whom some sinful act is attributed
giru,unpleasant/difficult to lie down
gisi-giha,unpleasant to lie down
gitiñ,close (a hinged door)
gitu,to lie down and get blocked by something obstructing the place
gitu-nanii,any obstructing device that prevents a door from opening fully
giyan,[´gijã hamã] n
giyan haman,haman n
giyan yorli,yorli n
giyañ,cabbage leaf mustard (Brassica juncea var. rugosa)
giyañ hamañ,cabbage leaf mustard (Brassica juncea var. rugosa)
giyañ yorli,cabbage leaf mustard seed
giyi,to fall down and remain in a lying position; to fall flat on one's face
giyo-gichi,haphazardly lying
go,throw
go,fly; soar
go-,handspan
goba,(of a plural subject) to fly together
gobii-chibii,to preserve
gobiila,in turn; one at a time
gobo,to fly along with someone
gobu,to swell
gobu-goga,to swell a lot; to swell over (e
gocha,to fly up
goha,"to land, as of a bird or an aeroplane"
goi tabú,common Indian monitor lizard (Varanus bengalensis)
goi’,whole; entire
goka,"to fly, as a trial"
goker,circle
gokun,n:num
gokur,to fly back
gokvr,circle
golin,[go:´li] vi
golu,lie; untruth; falsehood [v.  lie]
golu paka,(Anat
golu paka’,dimple on the cheek
golubo,liar
gommu,(Anat
gompu,to speak by mistake; to tell by mistake to someone
gompyu,to rinse the mouth or throat by gargling
gomu,facial hair; beard; moustache
gomu resu,to shave one's face
gomur,to fly in such a way that something goes wrong; to experiment something bad while flying
gon,vt-r
gon-,class
gondu,arbitration; the traditional system of debates and discussion on problems and disputes by which social justice and communal harmony is maintained
gone,(of handspans) how many
gonkopa,gapingly
gonkun,n:num
gonne,(of mouths/mouthfuls/speeches/languages/voices/handfuls) how many
gonnge,one
gonnyo,"small, as of a mouth or mouthful"
gonpii,(Anat
gonsa,(of two or more mouths/mouthfuls/speeches/languages/voices/handfuls)
gontii,"haughty, as of a way of speaking"
goo,demarcate a boundary (esp. with fencing)
goobw-cibw,preserve; protect; safeguard
gopyo,to fly first/before anyone else does
goqe,one mouthful; one word
gora,horse
gora atu,foal
gorban,[´gorbã] n
gorbañ,shoulder
gorchi-nanii,weaving tool on which a woven cloth is wound in a loom
gordu,worth; merit; caliber
gorgi,"narrow opening or fissure in a rock, wall, or floor; crack; crevice; chink"
gori,watch; clock
gorkhan,[´gorxã] n
goro,big (of a mouth); loud voice
goroja,(of a mouth/mouthful) largest; (of a vocalism) loudest
goropa,loudly
goroya,(of a mouth or mouthful) larger; (of a vocalism) louder
gorw,watch; clock
gorxañ,armpit; underarm
gorá,a section of Apatani village council
goyi,to fly down
gozó,small (of a mouth); low voice
goñ,utter; emit
goñcañ,labial commissure
goñcañ une,angular stomatitis
goñcì,dragonfly
goñdu,arbitration; mediation; mediator
goñdu apiñ,feast after settlement of a dispute
goñko’,open mouth
goñpiñ,close mouth
goñpi’,rinse mouth
goñpw,chin
goñpyañ,close mouth
go’,measure with outstretched thumb and finger
greater,or quantity
gu,crawl (as a baby or a caterpillar)
gubo,to crawl across
gubu giiba,to be warmly comfortable; to be cozy
gubuja,hottest; warmest
gubupa,hotly
gubuya,hotter; warmer
gubu’,hot; warm
guha,"to crawl in, as of an animal crawling through some hole or simply crawling from outside to inside"
guli,bullet
gulun-giile,adj
guluñ-gwle,lukewarm; tepid
gun,vsuff
gunki,to stoop down
guqa,lie down (esp. of quadruplets)
guri,to get up
guri’,get up; stand up
guñki’,bend; stoop
gu’,turn or turn oneself over (esp. in lying position)
gu’,hatch; sit on or brood eggs
gu’pi,lie face down
gw,"wear clothing; pregnant; bear (fruit or leaves, of a tree)"
gwda-pata,large cane basket
gwju,dress; dressing style
gwju-gwmyo,dress; dressing style
gwmya,a variety of spring action trap
gwne’-gwse,lightly touch with any part of the body; flirt
gwre,crispy; crunchy
gwri,pigsty
gwrw,spring action noose trap
gwtu-gwra,traditional relations and ways of life
gww,move by manouvering
gwwpw,goiter
gwwrò,big (of a basket)
gwwzó,small (of a basket)
gwxu’,worn out dress
gw’,lie down
gw’ha,lie down
gw’i,fall down (from standing position)
gya,dry (as of liquid)
gya-,handful
gyaasi,mother’s mother’s brother’s patrilines; portion of the meat traditionally offered to such relations
gyabo,"to spread, scatter or disperse by throwing across something"
gyahi-gyaso,(esp
gyai,"uppermost shelf of a *dareke, the fireplace shelving complex, used for storing dried meat, *tapyo, pine splits for torch and salt container, etc"
gyaker,to roam around; to travel
gyakun,n:num
gyalan hipa,hipa n
gyaliñ,seep; exude; ooze
gyambo,war; battle; dispute
gyambo pasu,to battle
gyambo sonii,demonstration war; mock battle; battle march
gyamo pido,"the most superior level of the series of *murun, involving sacrifice of 4-5 mithuns"
gyandi,debt; dues; financial obligation
gyane,(of handfuls) how many
gyanyo,(of a handful) small
gyapya-gyasa,spread by throwing
gyaro,(of a handful) big
gyasa,(of two or more handfuls)
gyasi,portion of mithun meat which a married man and woman must give to the representatives of their respective mother's mother's brother's patrilines on the occasion of a *subu tado
gyata,"to throw something that sticks at something or someone, such as mud"
gyatu-gyapo,"to hack/cut into pieces, esp"
gyaye,one handful
gya’,wander; roam
gyo,hurt or kill accidentally
gyobo,to call someone along with someone else
gyoi tabú,common Indian monitor lizard (Varanus bengalensis)
gyokur,to call back; to shout back
gyonii,one who calls (unspecified)
gyoniin,[´gjoni] n
gyonya,body colour pattern for mithun cows
gyoo’,noose trap
gyopu,shooting star
gyotu ajiñ,a variety of traditional friend
gyoyi tabu,(Zool
gyo’,call; hail
gyo’,prepare cane rope; smoothen cane rope
gyu,to shout
gyu-gyuro,trachea
gyubo,to shout along with someone
gyunyan uyi,uyi n
gyuu,yell; howl; scream; shout
gyuyi-gyuro,(Anat
gyuzañ,ritual performed to appease a malevolent spiriti
gyuñtañ,negotiator; go between in a marriage
gyàa,"cut, with an inward motion of the blade"
gyáa,spread (esp. seeds or sand by throwing)
gè,mark; write
gòo,swell (as a wound); bloat; bulge
gòobu,swell (as a wound); bloat; bulge
góò,hug; embrace; cuddle
ha,come; arrive; enter
ha-,"finger width, construed as a basic unit of linear measure"
haabyañ,chest
haace,sad; heart breaking
haace’,difficult time; crisis; emergency
haaci,east
haadw,get angry; annoyed; enraged	[n.	anger]
haafiñ,beautiful; handsome; pretty
haafiñ,fourth lunar month of the year; April
